perfil_id,version_perfil,vigencia_desde,pais,moneda,descripcion_visible,nivel_informacion_visible,estado_alcance_mvp,actividad_1_familia,actividad_1_codigo_cuoc,actividad_1_ocupacion_cuoc,actividad_1_codigo_denominacion_cuoc,actividad_1_denominacion_cuoc,actividad_1_rol,actividad_1_modalidad_ingreso,actividad_1_visible,actividad_2_familia,actividad_2_codigo_cuoc,actividad_2_ocupacion_cuoc,actividad_2_codigo_denominacion_cuoc,actividad_2_denominacion_cuoc,actividad_2_rol,actividad_2_modalidad_ingreso,actividad_2_visible,cantidad_fuentes_ingreso,estado_ingresos_extraible,hobby_1,hobby_2,meta_declarada,horizonte_meta,responsabilidad_declarada,personas_a_cargo_declaradas,realidad_sintetica_completa,informacion_extraible,informacion_no_determinable,historia_financiera_controlada,liquidez_inicial,deuda_inicial,consentimiento_analisis,particion,es_sintetico,version_esquema,huella_registro,estado_ingreso_actual,ingreso_mensual_neto,actividad_principal_declarada,ingreso_principal,modalidad_ingreso_principal,tiene_ingreso_adicional,ingreso_adicional,modalidad_ingreso_adicional,objetivo_proximo,hobbies,responsabilidad_financiera,tipos_deuda,nivel_endeudamiento_pct,estado_calculo_endeudamiento,habito_ahorro
PERF_0001,perfil_estructurado_v2.0,2026-04-01,Colombia,COP,Actividad principal declarada: Ingeniero de software / Ingeniera de software. Estado de ingreso actual: mixto. Ingreso mensual neto declarado: 4476667 COP. Ingreso adicional: actividad independiente adicional. Hobbies declarados: pintura | turismo_y_viajes. Objetivo: crear fondo emergencia.,parcial,dentro_del_mvp,ingenieria_y_desarrollo_de_software,25120,Desarrolladores de software / Desarrolladoras de software,25120.031,Ingeniero de software / Ingeniera de software,principal,mixto,si,,,,,,,,no_aplica,2,ingresos_mixtos_declarados,pintura,turismo_y_viajes,crear_fondo_emergencia,6_meses,gastos_de_un_hijo,1.0,actividad_principal:ingenieria_y_desarrollo_de_software | actividad_secundaria:ninguna | hobbies:pintura | turismo_y_viajes | meta:crear_fondo_emergencia | responsabilidad:gastos_de_un_hijo | historia:acumulacion_estable,ingenieria_y_desarrollo_de_software | pintura | turismo_y_viajes | crear_fondo_emergencia | gastos_de_un_hijo,otras_fuentes_no_declaradas,acumulacion_estable,1662767,8031665,si,train,si,fincoach_mvp_estructurado_v2.0,a3dbf14a4c3b5f04a658dafb73c87ba937ac8e1cb5b5dfd425a4b4336b4c708d,mixto,4476667,Ingeniero de software / Ingeniera de software,Ingeniero de software / Ingeniera de software,mixto,si,actividad independiente adicional,variable,crear fondo emergencia,pintura | turismo_y_viajes,gastos de un hijo,credito,4.93,calculado,media
PERF_0002,perfil_estructurado_v2.0,2026-04-01,Colombia,COP,Actividad principal declarada: Nutricionista dietista. Estado de ingreso actual: fijo. Ingreso mensual neto declarado: 1060000 COP. Hobbies declarados: cocina_y_reposteria | fotografia_y_video. Objetivo: ampliar actividad economica.,parcial,dentro_del_mvp,nutricion_y_dietetica,22650,Nutricionistas dietistas,22650.014,Nutricionista dietista,principal,estable,si,,,,,,,,no_aplica,1,ingreso_fijo_declarado,cocina_y_reposteria,fotografia_y_video,ampliar_actividad_economica,6_meses,aporte_hogar_compartido,0.0,actividad_principal:nutricion_y_dietetica | actividad_secundaria:ninguna | hobbies:cocina_y_reposteria | fotografia_y_video | meta:ampliar_actividad_economica | responsabilidad:aporte_hogar_compartido | historia:equilibrio_sostenible,nutricion_y_dietetica | ampliar_actividad_economica | aporte_hogar_compartido,hobbies,equilibrio_sostenible,10224606,3753786,si,train,si,fincoach_mvp_estructurado_v2.0,1b9611065e98a60ce43f91343a0b0f28434cc88b0eba79b26e0efa71a40abe4f,fijo,1060000,Nutricionista dietista,Nutricionista dietista,fijo,no,,,ampliar actividad economica,cocina_y_reposteria | fotografia_y_video,aporte hogar compartido,credito,0.0,calculado,alta
PERF_0003,perfil_estructurado_v2.0,2026-04-01,Colombia,COP,Actividad principal declarada: Disc jockey. Estado de ingreso actual: mixto. Ingreso mensual neto declarado: 8749000 COP. Ingreso adicional: Editor de video / Editora de video. Hobbies declarados: manualidades_y_artesanias | impresion_3d.,parcial,dentro_del_mvp,musica_y_entretenimiento_dj,26521,Intérpretes musicales,26521.035,Disc jockey,principal,mixto,si,diseno_audiovisual_y_edicion_de_video,26541.0,"Productores, directores y editores de cine, teatro y afines / Productoras, directoras y editoras de cine, teatro y afines",26541.06,Editor de video / Editora de video,secundaria,variable,si,2,ingresos_mixtos_declarados,manualidades_y_artesanias,impresion_3d,,,,,actividad_principal:musica_y_entretenimiento_dj | actividad_secundaria:diseno_audiovisual_y_edicion_de_video | hobbies:manualidades_y_artesanias | impresion_3d | meta:crear_fondo_emergencia | responsabilidad:apoyo_mensual_madre_o_padre | historia:variable_resiliente,musica_y_entretenimiento_dj | diseno_audiovisual_y_edicion_de_video | manualidades_y_artesanias | impresion_3d,meta | responsabilidades,variable_resiliente,4102250,8758948,si,train,si,fincoach_mvp_estructurado_v2.0,23472239aed46f6e97a66cadd5f43b3dc3ebf3dbe3d9631edf58cf4e8a9a0ef7,mixto,8749000,Disc jockey,Disc jockey,mixto,si,Editor de video / Editora de video,variable,no declarado,manualidades_y_artesanias | impresion_3d,no declarada,credito,3.16,calculado,baja
PERF_0004,perfil_estructurado_v2.0,2026-04-01,Colombia,COP,Actividad principal declarada: Ciclista. Estado de ingreso actual: variable. Ingreso mensual neto declarado: 7895333 COP. Hobbies declarados: musica | fotografia_y_video.,parcial,dentro_del_mvp,deporte_competitivo_ciclismo,34210,Atletas y deportistas,34210.007,Ciclista,principal,variable,si,nutricion_y_dietetica,22650.0,Nutricionistas dietistas,22650.014,Nutricionista dietista,secundaria,mixto,si,1,ingreso_variable_declarado,musica,fotografia_y_video,,,gastos_de_un_hijo,1.0,actividad_principal:deporte_competitivo_ciclismo | actividad_secundaria:nutricion_y_dietetica | hobbies:musica | fotografia_y_video | meta:crear_fondo_emergencia | responsabilidad:gastos_de_un_hijo | historia:uso_planificado_reserva,deporte_competitivo_ciclismo | nutricion_y_dietetica | musica | fotografia_y_video | gastos_de_un_hijo,meta,uso_planificado_reserva,22524685,17967899,si,train,si,fincoach_mvp_estructurado_v2.0,7904283a32e391c982d3a70dd3b5b003f8db23513c611ec48d5d5b33084c0067,variable,7895333,Ciclista,Ciclista,variable,no,,,no declarado,musica | fotografia_y_video,gastos de un hijo,credito,10.9,calculado,media
PERF_0005,perfil_estructurado_v2.0,2026-04-01,Colombia,COP,Actividad principal declarada: Repartidor de domicilios / Repartidora de domicilios. Estado de ingreso actual: fijo. Ingreso mensual neto declarado: 500000 COP. Hobbies declarados: fotografia_y_video | ciclismo.,parcial,dentro_del_mvp,domicilios_mensajeria_y_reparto,96211,"Mandaderos, maleteros y repartidores / Mandaderas, maleteras y repartidoras",96211.011,Repartidor de domicilios / Repartidora de domicilios,principal,estable,si,ventas_al_por_menor,52230.0,"Vendedores y auxiliares de venta en tiendas, almacenes y afines / Vendedoras y auxiliares de venta en tiendas, almacenes y afines",52230.032,Vendedor de tienda / Vendedora de tienda,secundaria,mixto,si,1,ingreso_fijo_declarado,fotografia_y_video,ciclismo,,,apoyo_parcial_a_dos_familiares,2.0,actividad_principal:domicilios_mensajeria_y_reparto | actividad_secundaria:ventas_al_por_menor | hobbies:fotografia_y_video | ciclismo | meta:pagar_deuda | responsabilidad:apoyo_parcial_a_dos_familiares | historia:deterioro_reciente,domicilios_mensajeria_y_reparto | ventas_al_por_menor | fotografia_y_video | ciclismo | apoyo_parcial_a_dos_familiares,meta,deterioro_reciente,6806139,4450913,si,train,si,fincoach_mvp_estructurado_v2.0,986717d4d1d54683d1023c8b2d177228d55c2e76ef6339c563fff3e933a2f267,fijo,500000,Repartidor de domicilios / Repartidora de domicilios,Repartidor de domicilios / Repartidora de domicilios,fijo,no,,,no declarado,fotografia_y_video | ciclismo,apoyo parcial a dos familiares,credito,35.5,calculado,alta
PERF_0006,perfil_estructurado_v2.0,2026-04-01,Colombia,COP,Actividad principal declarada: Vendedor de tienda / Vendedora de tienda. Estado de ingreso actual: apoyo. Ingreso mensual neto declarado: 500000 COP. Hobbies declarados: videojuegos_y_streaming | musica.,parcial,dentro_del_mvp,ventas_al_por_menor,52230,"Vendedores y auxiliares de venta en tiendas, almacenes y afines / Vendedoras y auxiliares de venta en tiendas, almacenes y afines",52230.032,Vendedor de tienda / Vendedora de tienda,principal,apoyo,si,domicilios_mensajeria_y_reparto,96211.0,"Mandaderos, maleteros y repartidores / Mandaderas, maleteras y repartidoras",96211.011,Repartidor de domicilios / Repartidora de domicilios,secundaria,variable,si,1,apoyo_declarado,videojuegos_y_streaming,musica,,,,,actividad_principal:ventas_al_por_menor | actividad_secundaria:domicilios_mensajeria_y_reparto | hobbies:videojuegos_y_streaming | musica | meta:pagar_deuda | responsabilidad:apoyo_parcial_a_dos_familiares | historia:fragilidad_sostenida,ventas_al_por_menor | domicilios_mensajeria_y_reparto | videojuegos_y_streaming | musica,meta | responsabilidades,fragilidad_sostenida,1430442,13237229,si,train,si,fincoach_mvp_estructurado_v2.0,225ac5f1ea480e6b8756f1321c9aebba8d16c36b8db0cde22598c81cc50fd8c2,apoyo,500000,Vendedor de tienda / Vendedora de tienda,apoyo familiar o de terceros,apoyo,no,,,no declarado,videojuegos_y_streaming | musica,no declarada,credito,100.0,calculado,baja
PERF_0007,perfil_estructurado_v2.0,2026-04-01,Colombia,COP,Actividad principal declarada: Editor de video / Editora de video. Estado de ingreso actual: apoyo. Ingreso mensual neto declarado: 500000 COP. Hobbies declarados: turismo_y_viajes | impresion_3d.,parcial,dentro_del_mvp,diseno_audiovisual_y_edicion_de_video,26541,"Productores, directores y editores de cine, teatro y afines / Productoras, directoras y editoras de cine, teatro y afines",26541.06,Editor de video / Editora de video,principal,apoyo,si,nutricion_y_dietetica,22650.0,Nutricionistas dietistas,22650.014,Nutricionista dietista,secundaria,mixto,si,1,apoyo_declarado,turismo_y_viajes,impresion_3d,,,,,actividad_principal:diseno_audiovisual_y_edicion_de_video | actividad_secundaria:nutricion_y_dietetica | hobbies:turismo_y_viajes | impresion_3d | meta:mejorar_vivienda | responsabilidad:gastos_de_un_hijo | historia:situacion_critica,diseno_audiovisual_y_edicion_de_video | nutricion_y_dietetica | turismo_y_viajes | impresion_3d,meta | responsabilidades,situacion_critica,1539316,9167711,si,train,si,fincoach_mvp_estructurado_v2.0,a6feb9af30f0d21a9353df931e20e7441fa11541c6942df82076be960506c070,apoyo,500000,Editor de video / Editora de video,apoyo familiar o de terceros,apoyo,no,,,no declarado,turismo_y_viajes | impresion_3d,no declarada,credito,100.0,calculado,baja
PERF_0008,perfil_estructurado_v2.0,2026-04-01,Colombia,COP,Actividad principal declarada: Docente de educación básica secundaria. Estado de ingreso actual: fijo. Ingreso mensual neto declarado: 510000 COP. Hobbies declarados: impresion_3d | videojuegos_y_streaming. Objetivo: hacer viaje.,parcial,dentro_del_mvp,docencia_y_formacion,23300,Profesores de educación secundaria / Profesoras de educación secundaria,23300.001,Docente de educación básica secundaria,principal,estable,si,deporte_competitivo_ciclismo,34210.0,Atletas y deportistas,34210.007,Ciclista,secundaria,mixto,no,1,ingreso_fijo_declarado,impresion_3d,videojuegos_y_streaming,hacer_viaje,6_a_12_meses,apoyo_parcial_a_dos_familiares,2.0,actividad_principal:docencia_y_formacion | actividad_secundaria:deporte_competitivo_ciclismo | hobbies:impresion_3d | videojuegos_y_streaming | meta:hacer_viaje | responsabilidad:apoyo_parcial_a_dos_familiares | historia:acumulacion_estable,docencia_y_formacion | hacer_viaje | apoyo_parcial_a_dos_familiares,segunda_actividad_economica | hobbies,acumulacion_estable,12785018,3190706,si,train,si,fincoach_mvp_estructurado_v2.0,e95e84e9d7094e3229ea1b38388d6527690c2f1cfbce1236d113aa0ec735f029,fijo,510000,Docente de educación básica secundaria,Docente de educación básica secundaria,fijo,no,,,hacer viaje,impresion_3d | videojuegos_y_streaming,apoyo parcial a dos familiares,credito,60.92,calculado,alta
PERF_0009,perfil_estructurado_v2.0,2026-04-01,Colombia,COP,Actividad principal declarada: Horticultor / Horticultora. Estado de ingreso actual: variable. Ingreso mensual neto declarado: 4231667 COP. Hobbies declarados: jardineria_y_agricultura_urbana. Objetivo: hacer viaje.,parcial,dentro_del_mvp,agricultura,61131,"Agricultores de huertas, invernaderos, viveros y jardines / Agricultoras de huertas, invernaderos, viveros y jardines",61131.017,Horticultor / Horticultora,principal,variable,si,,,,,,,,no_aplica,1,ingreso_variable_declarado,jardineria_y_agricultura_urbana,,hacer_viaje,6_a_12_meses,aporte_hogar_compartido,0.0,actividad_principal:agricultura | actividad_secundaria:ninguna | hobbies:jardineria_y_agricultura_urbana | meta:hacer_viaje | responsabilidad:aporte_hogar_compartido | historia:equilibrio_sostenible,agricultura | jardineria_y_agricultura_urbana | hacer_viaje | aporte_hogar_compartido,otras_fuentes_no_declaradas,equilibrio_sostenible,4075186,6129906,si,train,si,fincoach_mvp_estructurado_v2.0,6ad911b02668238b045285f7f415b55ba2b387f4d53e263c974218f23b4aef97,variable,4231667,Horticultor / Horticultora,Horticultor / Horticultora,variable,no,,,hacer viaje,jardineria_y_agricultura_urbana,aporte hogar compartido,credito,6.6,calculado,baja
PERF_0010,perfil_estructurado_v2.0,2026-04-01,Colombia,COP,Actividad principal declarada: Barbero / Barbera. Estado de ingreso actual: variable. Ingreso mensual neto declarado: 4574000 COP. Hobbies declarados: ciclismo. Objetivo: mejorar vivienda.,parcial,dentro_del_mvp,peluqueria_y_barberia,51410,Peluqueros / Peluqueras,51410.001,Barbero / Barbera,principal,variable,si,,,,,,,,no_aplica,1,ingreso_variable_declarado,ciclismo,,mejorar_vivienda,12_meses,,,actividad_principal:peluqueria_y_barberia | actividad_secundaria:ninguna | hobbies:ciclismo | meta:mejorar_vivienda | responsabilidad:medicamentos_de_un_familiar | historia:variable_resiliente,peluqueria_y_barberia | ciclismo | mejorar_vivienda,responsabilidades,variable_resiliente,7460242,8032317,si,train,si,fincoach_mvp_estructurado_v2.0,1940c672ff129e053e08bd3e05173fc4d87f05bb74975681f85cc4a3af70f7d6,variable,4574000,Barbero / Barbera,Barbero / Barbera,variable,no,,,mejorar vivienda,ciclismo,no declarada,credito,3.17,calculado,media
