ventana_id,perfil_id,fecha_corte,periodo_desde,periodo_hasta,estado_esperado,estado_modelo,estado_reto,estado_calculo_modelo,confianza_pct,nivel_incertidumbre_modelo,estado_ingreso_actual,objetivo_declarado,calidad_datos,factores_positivos,factores_atencion,informacion_faltante,explicacion_periodo,particion,prob_situacion_critica_pct,prob_fragilidad_sostenida_pct,prob_uso_planificado_reserva_pct,prob_acumulacion_estable_pct,prob_deterioro_reciente_pct,prob_equilibrio_sostenible_pct,prob_variable_resiliente_pct,recurrencias_observadas,recurrencias_fijas_observadas,recurrencias_variables_observadas,recurrencias_estacionales_observadas,eventos_inusuales_observados,tendencia_entradas,tendencia_salidas
VEN_0164_3,PERF_0164,2026-06-30,2026-04-01,2026-06-30,situacion_critica,situacion_critica,en_riesgo,calculado,83.87,baja,variable,False,alta,evidencia_temporal_disponible,balance_negativo,ninguna_relevante_para_el_periodo,La ventana entre 2026-04-01 y 2026-06-30 muestra un balance de -4915000 COP y una cobertura estimada de 0.00 meses. Este resultado describe el periodo y no a la persona.,test,83.87,13.1,2.33,0.0,0.41,0.15,0.14,2,2,0,0,4,estabilidad_observada,estabilidad_observada
VEN_0172_3,PERF_0172,2026-06-30,2026-04-01,2026-06-30,situacion_critica,situacion_critica,en_riesgo,calculado,99.85,baja,sin_ingresos,False,alta,evidencia_temporal_disponible,balance_negativo,motivo_de_periodos_sin_ingreso,La ventana entre 2026-04-01 y 2026-06-30 muestra un balance de -26189000 COP y una cobertura estimada de 0.00 meses. Este resultado describe el periodo y no a la persona.,train,99.85,0.15,0.0,0.0,0.0,0.0,0.0,1,1,0,0,4,evidencia_insuficiente,aumento_observado
VEN_0167_3,PERF_0167,2026-06-30,2026-04-01,2026-06-30,situacion_critica,situacion_critica,en_riesgo,calculado,99.8,baja,variable,True,alta,evidencia_temporal_disponible,balance_negativo,ninguna_relevante_para_el_periodo,La ventana entre 2026-04-01 y 2026-06-30 muestra un balance de -8522000 COP y una cobertura estimada de 0.00 meses. Este resultado describe el periodo y no a la persona.,train,99.8,0.2,0.0,0.0,0.0,0.0,0.0,3,3,0,0,2,disminucion_observada,estabilidad_observada
VEN_0196_3,PERF_0196,2026-06-30,2026-04-01,2026-06-30,situacion_critica,situacion_critica,en_riesgo,calculado,100.0,baja,mixto,False,alta,evidencia_temporal_disponible,balance_negativo,ninguna_relevante_para_el_periodo,La ventana entre 2026-04-01 y 2026-06-30 muestra un balance de -29964000 COP y una cobertura estimada de 0.00 meses. Este resultado describe el periodo y no a la persona.,validation,100.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2,1,0,1,estabilidad_observada,estabilidad_observada
VEN_0184_3,PERF_0184,2026-06-30,2026-04-01,2026-06-30,equilibrio_sostenible,equilibrio_sostenible,saludable,calculado,92.02,baja,variable,True,alta,balance_no_negativo,sin_factor_dominante,ninguna_relevante_para_el_periodo,La ventana entre 2026-04-01 y 2026-06-30 muestra un balance de 2269000 COP y una cobertura estimada de 1.40 meses. Este resultado describe el periodo y no a la persona.,test,0.0,1.56,1.67,4.16,0.23,92.02,0.37,2,1,1,0,4,estabilidad_observada,disminucion_observada
VEN_0160_3,PERF_0160,2026-06-30,2026-04-01,2026-06-30,situacion_critica,situacion_critica,en_riesgo,calculado,99.65,baja,variable,True,alta,evidencia_temporal_disponible,balance_negativo,ninguna_relevante_para_el_periodo,La ventana entre 2026-04-01 y 2026-06-30 muestra un balance de -11103000 COP y una cobertura estimada de 0.00 meses. Este resultado describe el periodo y no a la persona.,test,99.65,0.35,0.0,0.0,0.0,0.0,0.0,2,2,0,0,2,disminucion_observada,aumento_observado
VEN_0189_3,PERF_0189,2026-06-30,2026-04-01,2026-06-30,situacion_critica,situacion_critica,en_riesgo,calculado,99.84,baja,mixto,True,alta,evidencia_temporal_disponible,balance_negativo,ninguna_relevante_para_el_periodo,La ventana entre 2026-04-01 y 2026-06-30 muestra un balance de -15784000 COP y una cobertura estimada de 0.00 meses. Este resultado describe el periodo y no a la persona.,validation,99.84,0.0,0.16,0.0,0.0,0.0,0.0,3,3,0,0,3,aumento_observado,estabilidad_observada
VEN_0152_3,PERF_0152,2026-06-30,2026-04-01,2026-06-30,fragilidad_sostenida,fragilidad_sostenida,en_riesgo,calculado,88.79,baja,estacional,True,alta,evidencia_temporal_disponible,balance_negativo,motivo_de_periodos_sin_ingreso,La ventana entre 2026-04-01 y 2026-06-30 muestra un balance de -7748000 COP y una cobertura estimada de 0.62 meses. Este resultado describe el periodo y no a la persona.,train,2.72,88.79,1.68,0.0,6.81,0.0,0.0,2,2,0,0,5,estabilidad_observada,estabilidad_observada
VEN_0162_3,PERF_0162,2026-06-30,2026-04-01,2026-06-30,situacion_critica,situacion_critica,en_riesgo,calculado,99.82,baja,sin_ingresos,True,alta,evidencia_temporal_disponible,balance_negativo,motivo_de_periodos_sin_ingreso,La ventana entre 2026-04-01 y 2026-06-30 muestra un balance de -10740000 COP y una cobertura estimada de 0.00 meses. Este resultado describe el periodo y no a la persona.,validation,99.82,0.14,0.04,0.0,0.0,0.0,0.0,1,1,0,0,0,evidencia_insuficiente,estabilidad_observada
VEN_0197_3,PERF_0197,2026-06-30,2026-04-01,2026-06-30,fragilidad_sostenida,fragilidad_sostenida,en_riesgo,calculado,93.48,baja,fijo,True,alta,evidencia_temporal_disponible,balance_negativo,ninguna_relevante_para_el_periodo,La ventana entre 2026-04-01 y 2026-06-30 muestra un balance de -17052000 COP y una cobertura estimada de 0.37 meses. Este resultado describe el periodo y no a la persona.,validation,2.81,93.48,1.49,0.0,2.21,0.0,0.0,2,2,0,0,1,evidencia_insuficiente,disminucion_observada
